fs,bench,BLOCK_SIZE,n,t,throughput
lfs3nb128,linear,4096,264646976,3600.022954274,73512.58015891461
lfs3nb128,linear,8192,277127488,3600.066805768,76978.4292769202
lfs3nb128,linear,16384,283214144,3600.035333982,78669.82341163213
lfs3nb128,linear,32768,285540672,3600.52917256,79305.19607399228
lfs3nb128,linear,65536,284295744,3600.230242356,78965.98963458407
lfs3nb128,linear,131072,283116608,3600.854081976,78624.84887047611
lfs3nb128,linear,262144,282331200,3600.55233196,78413.30272967034
lfs3nb128,linear,524288,282595392,3604.387061248,78403.17568506442
lfs3nb128,linear,1048576,282075200,3609.589485406,78146.06096911119
