fs,bench,BLOCK_SIZE,n,t,throughput
lfs3nb,random,4096,9015040,3600.091944318,2504.1138224895544
lfs3nb,random,8192,7348352,3600.11355316,2041.144505997591
lfs3nb,random,16384,6233792,3600.468734798,1731.383455646016
lfs3nb,random,32768,5083456,3600.559045798,1411.8518639300198
lfs3nb,random,65536,4014592,3601.64822189,1114.654111859182
lfs3nb,random,131072,3128768,3600.861511588,868.8942881949924
lfs3nb,random,262144,2361600,3602.589225366,655.5285246988093
lfs3nb,random,524288,1558080,3604.803604934,432.22326949168894
lfs3nb,random,1048576,921088,3614.572832924,254.82623883245645
