fs,bench,BLOCK_SIZE,n,t,throughput
lfs3nbf,logging,4096,10112192,3600.000235798,2808.942038238079
lfs3nbf,logging,8192,9504896,3600.059440906,2640.205295501447
lfs3nbf,logging,16384,9017984,3600.231974092,2504.834150936729
lfs3nbf,logging,32768,9960576,3600.1464492,2766.714115814197
lfs3nbf,logging,65536,10074688,3600.209992036,2798.361212897622
lfs3nbf,logging,131072,9922816,3601.561106856,2755.1430353661744
lfs3nbf,logging,262144,9905280,3600.915472012,2750.767152683386
lfs3nbf,logging,524288,9855040,3600.00034192,2737.5108511084136
lfs3nbf,logging,1048576,9832064,3600.000804864,2731.128278281436
