fs,bench,BLOCK_SIZE,throughput,n,t
lfs3nb,linear,4096,1176201.2825426343,4234351616,57600.367268383976
lfs3nb,linear,8192,1142890.9076551811,4114490368,57601.163371808005
lfs3nb,linear,16384,1136932.6580725599,4093133824,57602.480427496004
lfs3nb,linear,32768,1126830.4524837974,4056974336,57605.46250140798
lfs3nb,linear,65536,1124506.4520924536,4048225280,57600.029203456004
lfs3nb,linear,131072,1119576.5395454993,4030858240,57605.46917692802
lfs3nb,linear,262144,1112084.095984546,4005823488,57633.38945267199
lfs3nb,linear,524288,1112247.0919952372,4010279936,57689.050785376
lfs3nb,linear,1048576,1110594.664960794,4010804224,57782.43819158399
