fs,bench,BLOCK_SIZE,throughput,n,t
lfs2,linear,4096,1266525.0576935126,4559544320,57600.683600255994
lfs2,linear,8192,1264575.9132051296,4552473600,57600.00395340799
lfs2,linear,16384,1260319.3425102704,4537185280,57600.45254515202
lfs2,linear,32768,1251863.2397215662,4506777600,57600.89386124801
lfs2,linear,65536,1235260.7849014823,4447009792,57600.919208063984
lfs2,linear,131072,1203463.8688974367,4332470272,57600.004573056
lfs2,linear,262144,1144450.7384962814,4120023040,57600.005332352004
lfs2,linear,524288,1041915.3179363408,3750895616,57600.00723942401
lfs2,linear,1048576,883928.264194841,3187671040,57700.085748992016
