fs,bench,BLOCK_SIZE,throughput,n,t
lfs2,random,4096,79.37716019501948,287680,57990.61268752
lfs2,random,8192,79.1483751943609,286464,57911.81675085799
lfs2,random,16384,78.64654536791237,285120,58005.688337422
lfs2,random,32768,78.05338785895476,282752,57960.14310946599
lfs2,random,65536,76.52521570675884,277120,57942.607103812
lfs2,random,131072,73.90285145489612,267712,57959.333174039995
lfs2,random,262144,69.64593733065858,251904,57871.133472204
lfs2,random,524288,62.42509899947019,226176,57972.33537467999
lfs2,random,1048576,52.09206248504798,188672,57950.640785280004
