fs,bench,BLOCK_SIZE,n,t,throughput
lfs3nb2,random,4096,7817792,3600.154870864,2171.515470978561
lfs3nb2,random,8192,7061312,3600.354756692,1961.2822838846919
lfs3nb2,random,16384,6297216,3600.125652592,1749.1656146685223
lfs3nb2,random,32768,5156352,3600.40692094,1432.1581180201074
lfs3nb2,random,65536,4036160,3601.429504072,1120.7105388114544
lfs3nb2,random,131072,3131008,3601.084112892,869.4626123257959
lfs3nb2,random,262144,2382464,3600.010087108,661.7937012265172
lfs3nb2,random,524288,1715520,3603.9017842,476.01741188427366
lfs3nb2,random,1048576,1261760,3611.999395682,349.3245324205711
