bench,BLOCK_SIZE,n,t
commit,1048576,1,5.070400000000002e-05
commit,1048576,15,7.447175833333333e-05
commit,1048576,31,8.397260080645162e-05
commit,1048576,47,8.980695478723403e-05
commit,1048576,63,9.436502579365078e-05
commit,1048576,79,9.758882120253164e-05
commit,1048576,95,0.00010039729473684209
commit,1048576,111,0.00010279178265765765
commit,1048576,127,0.00010494604035433071
commit,1048576,143,0.00010686131293706295
commit,1048576,159,0.00010837912264150943
commit,1048576,175,0.00010962355
commit,1048576,191,0.00011081924476439787
commit,1048576,207,0.00011188067753623188
commit,1048576,223,0.0001129263918161435
commit,1048576,239,0.00011394005543933056
commit,1048576,255,0.00011502989852941178
commit,1048576,271,0.00011600716559040593
commit,1048576,287,0.00011698743771777003
commit,1048576,303,0.00011800068976897688
commit,1048576,319,0.00011896447766457682
commit,1048576,335,0.0001198307567164179
commit,1048576,351,0.00012063764814814813
commit,1048576,367,0.00012136739884196184
commit,1048576,383,0.00012207288936031332
commit,1048576,399,0.00012271543515037593
commit,1048576,415,0.0001233851379518072
commit,1048576,431,0.00012403007917633413
commit,1048576,447,0.0001246472841163311
commit,1048576,463,0.00012522344816414684
commit,1048576,479,0.00012580523825678498
commit,1048576,495,0.00012636667525252524
commit,1048576,511,0.00012691054036203522
commit,1048576,527,0.00012746528723908918
commit,1048576,543,0.00012798994682320443
commit,1048576,559,0.00012852797048300534
commit,1048576,575,0.00012904241434782607
commit,1048576,591,0.0001295711529187817
commit,1048576,607,0.0001300872506177924
commit,1048576,623,0.00013060989365971107
commit,1048576,639,0.00013112957042253523
commit,1048576,655,0.00013161290477099234
commit,1048576,671,0.00013212489288375558
commit,1048576,687,0.0001326052152474527
commit,1048576,703,0.00013303483445945949
commit,1048576,719,0.00013348919367176632
commit,1048576,735,0.00013394178486394556
commit,1048576,751,0.00013439628894806925
commit,1048576,767,0.0001347988011734029
commit,1048576,783,0.00013520300383141763
commit,1048576,799,0.00013560044086357946
commit,1048576,815,0.00013596370015337423
commit,1048576,831,0.00013633104693140796
commit,1048576,847,0.00013667986437426212
commit,1048576,863,0.00013702184110660489
commit,1048576,879,0.00013737435537542663
commit,1048576,895,0.00013770892709497206
commit,1048576,911,0.00013802360716245888
commit,1048576,927,0.00013833155326321465
commit,1048576,943,0.00013863159504241785
commit,1048576,959,0.00013892199009384775
commit,1048576,975,0.00013922485423076923
commit,1048576,991,0.00013951334006054487
commit,1048576,1007,0.00013979541794935453
commit,1048576,1023,0.00014009212732160313
commit,1048576,1039,0.00014038280341674688
commit,1048576,1055,0.0001406721598341232
commit,1048576,1071,0.0001409587076330532
commit,1048576,1087,0.00014122441179852807
commit,1048576,1103,0.00014149628989120584
commit,1048576,1119,0.000141772584562109
commit,1048576,1135,0.00014204696618942732
commit,1048576,1151,0.00014231212434839268
commit,1048576,1167,0.00014257993198371895
commit,1048576,1183,0.00014285753951817412
commit,1048576,1199,0.00014311047404086735
commit,1048576,1215,0.00014337508302469134
commit,1048576,1231,0.0001436334394800975
commit,1048576,1247,0.00014387832778668804
commit,1048576,1263,0.00014412191904196358
commit,1048576,1279,0.0001443737276192338
commit,1048576,1295,0.00014461338349420848
commit,1048576,1311,0.00014486376878337145
commit,1048576,1327,0.00014511573737754333
commit,1048576,1343,0.000145359594564408
commit,1048576,1359,0.0001456090928072112
commit,1048576,1375,0.00014584012700000003
commit,1048576,1391,0.00014607220228253056
commit,1048576,1407,0.00014632285314498933
commit,1048576,1423,0.00014656589994729442
commit,1048576,1439,0.0001468056000694927
commit,1048576,1455,0.00014703997001718212
commit,1048576,1471,0.0001472816368116927
commit,1048576,1487,0.0001475085157195696
commit,1048576,1503,0.00014772805904856952
commit,1048576,1519,0.00014796968062870313
commit,1048576,1535,0.00014819525602605864
commit,1048576,1551,0.00014841992843326888
commit,1048576,1567,0.0001486463799457562
commit,1048576,1583,0.00014887381143398605
commit,1048576,1599,0.00014909479580988116
commit,1048576,1615,0.00014931393575851393
commit,1048576,1631,0.00014952190565603924
commit,1048576,1647,0.000149729154143898
commit,1048576,1663,0.00014994956471737824
commit,1048576,1679,0.00015015757765038715
commit,1048576,1695,0.0001503519909292035
commit,1048576,1711,0.00015053500438340153
