fs,bench,BLOCK_SIZE,n,t,throughput
lfs2,logging,4096,4647680,3600.028685518,1291.0119351816375
lfs2,logging,8192,2352384,3600.088467212,653.4239426126509
lfs2,logging,16384,1183424,3600.174277966,328.71297571422076
lfs2,logging,32768,593856,3600.242500156,164.94888885242258
lfs2,logging,65536,298560,3600.38940753,82.9243635078971
lfs2,logging,131072,150080,3600.51060074,41.682976844771574
lfs2,logging,262144,78528,3602.369713582,21.79898406982665
lfs2,logging,524288,40064,3603.530997726,11.11798400659861
lfs2,logging,1048576,20288,3611.034040718,5.618335294331935
