BLOCK_SIZE,n,t
16384,1,5.0704e-05
16384,2,5.3868e-05
16384,3,5.7032e-05
16384,4,5.8834e-05
16384,5,6.18136e-05
16384,6,6.353633333333333e-05
16384,7,6.511857142857144e-05
16384,8,6.7404e-05
16384,9,6.820488888888889e-05
16384,10,6.97246e-05
16384,11,7.0968e-05
16384,12,7.172566666666666e-05
16384,13,7.271169230769231e-05
16384,14,7.391457142857144e-05
16384,15,7.47112e-05
16384,16,7.583125e-05
16384,17,7.679364705882352e-05
16384,18,7.716077777777777e-05
16384,19,7.792873684210527e-05
16384,20,7.86199e-05
16384,21,7.920333333333333e-05
16384,22,7.960181818181818e-05
16384,23,8.03095652173913e-05
16384,24,8.102425e-05
16384,25,8.153424e-05
16384,26,8.194415384615385e-05
16384,27,8.263296296296295e-05
16384,28,8.294292857142856e-05
16384,29,8.333158620689655e-05
16384,30,8.393459999999999e-05
16384,31,8.448451612903227e-05
16384,32,8.47885625e-05
16384,33,8.475987878787879e-05
16384,34,8.497847058823529e-05
16384,35,8.54934857142857e-05
16384,36,8.572844444444444e-05
16384,37,8.59388108108108e-05
16384,38,8.614968421052631e-05
16384,39,8.651871794871796e-05
16384,40,8.68803e-05
16384,41,8.728429268292683e-05
16384,42,8.762090476190475e-05
16384,43,8.78906976744186e-05
16384,44,8.821418181818181e-05
16384,45,8.857217777777777e-05
16384,46,8.883239130434783e-05
16384,47,8.909089361702127e-05
16384,48,8.940825e-05
16384,49,8.968036734693878e-05
16384,50,9.005579999999999e-05
16384,51,9.028380392156863e-05
16384,52,9.06078076923077e-05
16384,53,9.099924528301887e-05
16384,54,9.118896296296296e-05
16384,55,9.135101818181818e-05
16384,56,9.171607142857143e-05
16384,57,9.204828070175439e-05
16384,58,9.240389655172413e-05
16384,59,9.272508474576271e-05
16384,60,9.300186666666667e-05
16384,61,9.329550819672131e-05
16384,62,9.34265806451613e-05
16384,63,9.367904761904762e-05
16384,64,9.398959375e-05
16384,65,9.435135384615384e-05
16384,66,9.462230303030303e-05
16384,67,9.488516417910447e-05
16384,68,9.508205882352942e-05
16384,69,9.534339130434784e-05
16384,70,9.558468571428571e-05
16384,71,9.581918309859154e-05
16384,72,9.605938888888889e-05
16384,73,9.628698630136986e-05
16384,74,9.650843243243244e-05
16384,75,9.670637333333334e-05
16384,76,9.676607894736842e-05
16384,77,9.691784415584415e-05
16384,78,9.702623076923077e-05
16384,79,9.731886075949368e-05
16384,80,9.755467500000001e-05
16384,81,9.77196049382716e-05
16384,82,9.780014634146342e-05
16384,83,9.786814457831325e-05
16384,84,9.803916666666666e-05
16384,85,9.809757647058823e-05
16384,86,9.824660465116279e-05
16384,87,9.850335632183907e-05
16384,88,9.875427272727273e-05
16384,89,9.89156179775281e-05
16384,90,9.903426666666667e-05
16384,91,9.933094505494505e-05
16384,92,9.945206521739131e-05
16384,93,9.956584946236559e-05
16384,94,9.980348936170213e-05
16384,95,9.992507368421052e-05
16384,96,0.00010014027083333333
16384,97,0.00010024680412371135
16384,98,0.00010044085714285713
16384,99,0.00010053775757575757
