bench,BLOCK_SIZE,n,t
commit,8192,1,5.070400000000002e-05
commit,8192,15,7.447175833333333e-05
commit,8192,31,8.397260080645162e-05
commit,8192,47,8.980695478723403e-05
commit,8192,63,9.436502579365078e-05
commit,8192,79,9.758882120253164e-05
commit,8192,95,0.00010039729473684209
commit,8192,111,0.00010279178265765765
commit,8192,127,0.002276509746062993
commit,8192,143,0.002043681207167832
commit,8192,159,0.0018578861926100627
commit,8192,175,0.00170626177
commit,8192,191,0.0015801595209424084
commit,8192,207,0.0014736761944444442
commit,8192,223,0.0013825829837443948
commit,8192,239,0.0013037837625523012
commit,8192,255,0.0012351006230392157
commit,8192,271,0.0011746779114391146
commit,8192,287,0.0015572532243031357
commit,8192,303,0.0017954074339933991
commit,8192,319,0.00197312579976489
commit,8192,335,0.002029361704850746
commit,8192,351,0.0021471597923789173
commit,8192,367,0.002127323101158038
commit,8192,383,0.0020786878743472587
commit,8192,399,0.002033978473370927
commit,8192,415,0.002127391322891566
commit,8192,431,0.0021091067352088165
commit,8192,447,0.002041796174496644
commit,8192,463,0.0019791475556155506
commit,8192,479,0.0019207454895615865
commit,8192,495,0.0018661334696969698
commit,8192,511,0.0018150072783757335
commit,8192,527,0.0017669898712049333
commit,8192,543,0.0018463648611878455
commit,8192,559,0.0018825643848389979
commit,8192,575,0.001918383545
commit,8192,591,0.0019721671780879866
commit,8192,607,0.001926627324135091
commit,8192,623,0.001977584930778491
commit,8192,639,0.002117753498826291
commit,8192,655,0.0021774531572519083
commit,8192,671,0.0022504728437034278
commit,8192,687,0.0023404209876273655
commit,8192,703,0.002359578582681366
commit,8192,719,0.0023942352435674546
commit,8192,735,0.0024273613656462583
commit,8192,751,0.002412267014480692
commit,8192,767,0.0024928108213820074
commit,8192,783,0.002484050100255428
commit,8192,799,0.002453944214643304
commit,8192,815,0.002410634526840491
commit,8192,831,0.002411325504963899
commit,8192,847,0.00237047121649941
commit,8192,863,0.002370896857618772
commit,8192,879,0.0024093302969283277
commit,8192,895,0.0023707036152234634
commit,8192,911,0.0023334359042261246
commit,8192,927,0.002297469065803668
commit,8192,943,0.002262722985683987
commit,8192,959,0.002241370284932221
commit,8192,975,0.0022550423497435896
commit,8192,991,0.0022682590904389505
commit,8192,1007,0.0022478821000496527
commit,8192,1023,0.0022511046739980447
commit,8192,1039,0.0022203642640760343
commit,8192,1055,0.0021905643280805687
commit,8192,1071,0.00219980379248366
commit,8192,1087,0.0022547992027368907
commit,8192,1103,0.0022309832922710786
commit,8192,1119,0.0022342592072162643
commit,8192,1135,0.0022684882245594716
commit,8192,1151,0.002250827901933102
commit,8192,1167,0.002258248527420737
commit,8192,1183,0.0022941535251479283
commit,8192,1199,0.0022957520687030856
commit,8192,1215,0.0022980379260288068
commit,8192,1231,0.0022907470778838345
commit,8192,1247,0.0023212685282678427
commit,8192,1263,0.0023314667183293746
commit,8192,1279,0.0024008422893862396
commit,8192,1295,0.0024238787853281853
commit,8192,1311,0.0024513228333333335
commit,8192,1327,0.002478127297663903
commit,8192,1343,0.002477784893801191
commit,8192,1359,0.002506593625919794
commit,8192,1375,0.002543847864
commit,8192,1391,0.002568323113317757
commit,8192,1407,0.002592236911691542
commit,8192,1423,0.0025991308038475053
commit,8192,1439,0.0026216242663307855
commit,8192,1455,0.00264692928676976
commit,8192,1471,0.0026406041654486747
commit,8192,1487,0.0026545481221418965
commit,8192,1503,0.002636967356121091
commit,8192,1519,0.00266210902518104
commit,8192,1535,0.0026741025634364817
commit,8192,1551,0.002686582356947131
commit,8192,1567,0.0026879692866145504
commit,8192,1583,0.0026709356266582437
commit,8192,1599,0.002654237392120075
commit,8192,1615,0.0026519095820433432
commit,8192,1631,0.0026600427171980376
commit,8192,1647,0.002654022522540984
commit,8192,1663,0.0026522440091701744
commit,8192,1679,0.0026365231386986303
commit,8192,1695,0.0026211036897492625
commit,8192,1711,0.002632258528199883
commit,8192,1727,0.002633807722423277
commit,8192,1743,0.002628592034781985
