fs,bench,BLOCK_SIZE,n,t,throughput
lfs3nb2,linear,4096,101405504,3600.040853638,28167.87589994299
lfs3nb2,linear,8192,94933056,3600.038845088,26370.008792968856
lfs3nb2,linear,16384,102176832,3600.10467174,28381.62812377785
lfs3nb2,linear,32768,115490880,3600.38102639,32077.4049061689
lfs3nb2,linear,65536,118423872,3600.08831081,32894.713067012315
lfs3nb2,linear,131072,116571712,3601.119555786,32370.964138833326
lfs3nb2,linear,262144,107610176,3600.29919583,29889.231462940108
lfs3nb2,linear,524288,110766400,3604.97276575,30726.001886162794
lfs3nb2,linear,1048576,107109184,3600.184174544,29751.029060497014
