fs,bench,BLOCK_SIZE,n,t,throughput
lfs3nb8,random,4096,8275840,3600.06029517,2298.8059425291385
lfs3nb8,random,8192,7148096,3600.228811198,1985.4560292853785
lfs3nb8,random,16384,6271232,3600.401811236,1741.8144776032977
lfs3nb8,random,32768,5162688,3600.338500246,1433.9451692242965
lfs3nb8,random,65536,4075712,3600.085657218,1132.1152850428412
lfs3nb8,random,131072,3098368,3600.360648928,860.5715654965101
lfs3nb8,random,262144,2251264,3600.90193128,625.1944770958399
lfs3nb8,random,524288,1551552,3600.66320445,430.90728343669093
lfs3nb8,random,1048576,913920,3602.120103664,253.71724809241647
