bench,BLOCK_SIZE,n,t
commit,8192,1,5.070400000000002e-05
commit,8192,2,5.3868e-05
commit,8192,3,5.716033333333335e-05
commit,8192,4,5.897690625e-05
commit,8192,5,6.1340175e-05
commit,8192,6,6.319768750000002e-05
commit,8192,7,6.504560714285715e-05
commit,8192,8,6.702692187499998e-05
commit,8192,9,6.843058333333333e-05
commit,8192,10,6.98007e-05
commit,8192,11,7.076948863636364e-05
commit,8192,12,7.179382291666666e-05
commit,8192,13,7.272730769230769e-05
commit,8192,14,7.364904464285715e-05
commit,8192,15,7.447175833333333e-05
commit,8192,16,7.54103359375e-05
commit,8192,17,7.611924264705884e-05
commit,8192,18,7.691024305555553e-05
commit,8192,19,7.751669736842105e-05
commit,8192,20,7.8269975e-05
commit,8192,21,7.897162500000001e-05
commit,8192,22,7.962669318181818e-05
commit,8192,23,8.021788043478261e-05
commit,8192,24,8.081998958333334e-05
commit,8192,25,8.140294999999999e-05
commit,8192,26,8.194592788461538e-05
commit,8192,27,8.23286388888889e-05
commit,8192,28,8.277467857142857e-05
commit,8192,29,8.318921120689656e-05
commit,8192,30,8.357829166666665e-05
commit,8192,31,8.397260080645162e-05
commit,8192,32,8.439117187499999e-05
commit,8192,33,8.47412196969697e-05
commit,8192,34,8.505305514705882e-05
commit,8192,35,8.545776785714286e-05
commit,8192,36,8.579468750000002e-05
commit,8192,37,8.613121621621623e-05
commit,8192,38,8.652318092105263e-05
commit,8192,39,8.68591314102564e-05
commit,8192,40,8.727827187500001e-05
commit,8192,41,8.764373170731708e-05
commit,8192,42,8.803258928571427e-05
commit,8192,43,8.838418895348835e-05
commit,8192,44,8.878811363636364e-05
commit,8192,45,8.916845555555556e-05
commit,8192,46,8.947004076086957e-05
commit,8192,47,8.980695478723403e-05
commit,8192,48,9.011575260416666e-05
commit,8192,49,9.044873469387755e-05
commit,8192,50,9.080443750000001e-05
commit,8192,51,9.112301715686275e-05
commit,8192,52,9.14381971153846e-05
commit,8192,53,9.175050235849057e-05
commit,8192,54,9.202367824074075e-05
commit,8192,55,9.234486363636366e-05
commit,8192,56,9.262347544642858e-05
commit,8192,57,9.288470614035088e-05
commit,8192,58,9.315236206896554e-05
commit,8192,59,9.341113347457627e-05
commit,8192,60,9.363098333333334e-05
commit,8192,61,9.389342213114753e-05
commit,8192,62,9.41568689516129e-05
commit,8192,63,9.436502579365078e-05
commit,8192,64,9.4581962890625e-05
commit,8192,65,9.480998461538459e-05
commit,8192,66,9.506623674242426e-05
commit,8192,67,9.522807462686567e-05
commit,8192,68,9.54184411764706e-05
commit,8192,69,9.559931340579711e-05
commit,8192,70,9.580351071428571e-05
commit,8192,71,9.602191373239435e-05
commit,8192,72,9.623630555555555e-05
commit,8192,73,9.644768493150685e-05
commit,8192,74,9.665408614864865e-05
commit,8192,75,9.687184166666667e-05
commit,8192,76,9.705082565789472e-05
commit,8192,77,9.724421753246752e-05
commit,8192,78,9.741398076923077e-05
commit,8192,79,9.758882120253164e-05
commit,8192,80,9.778368125e-05
commit,8192,81,9.796490277777777e-05
commit,8192,82,9.817053048780488e-05
commit,8192,83,9.832009789156625e-05
commit,8192,84,9.84883988095238e-05
commit,8192,85,9.865669117647058e-05
commit,8192,86,9.883179796511627e-05
commit,8192,87,9.901513936781609e-05
commit,8192,88,9.917907528409091e-05
commit,8192,89,9.9333904494382e-05
commit,8192,90,9.951019722222222e-05
commit,8192,91,9.968768131868133e-05
commit,8192,92,9.986524320652176e-05
commit,8192,93,0.0001000373252688172
commit,8192,94,0.0001002161595744681
commit,8192,95,0.00010039729473684209
commit,8192,96,0.00010056647135416666
commit,8192,97,0.00010068843685567011
commit,8192,98,0.00010087994770408163
commit,8192,99,0.00010102847348484849
commit,8192,100,0.00010120188374999999
commit,8192,101,0.0001013472698019802
commit,8192,102,0.00010150865931372549
commit,8192,103,0.00010164231917475729
commit,8192,104,0.00010179275600961539
commit,8192,105,0.00010196334523809525
commit,8192,106,0.0001020952087264151
commit,8192,107,0.00010224745794392524
commit,8192,108,0.00010238019675925927
commit,8192,109,0.00010254694036697247
commit,8192,110,0.00010268563295454545
commit,8192,111,0.00010279178265765765
commit,8192,112,0.00010296151674107145
commit,8192,113,0.00010308035951327433
commit,8192,114,0.00010322449780701754
commit,8192,115,0.00010336278152173912
commit,8192,116,0.00010353319396551724
commit,8192,117,0.00010365084401709405
commit,8192,118,0.00010381039406779662
commit,8192,119,0.00010393333403361344
commit,8192,120,0.00010406726666666666
commit,8192,121,0.00010421579338842977
commit,8192,122,0.00010434869262295084
commit,8192,123,0.00122445818800813
commit,8192,124,0.0017714598911290323
commit,8192,125,0.0023098320990000004
commit,8192,126,0.002293037036706349
commit,8192,127,0.002276509746062993
commit,8192,128,0.0022602500917968753
commit,8192,129,0.002244250906007752
commit,8192,130,0.002228493383653846
commit,8192,131,0.0022129692261450384
commit,8192,132,0.002197672123106061
commit,8192,133,0.0021826243806390977
commit,8192,134,0.0021677960662313434
commit,8192,135,0.0021531912962962966
commit,8192,136,0.002138801061580882
commit,8192,137,0.0021246063832116788
commit,8192,138,0.0021106350190217386
commit,8192,139,0.0020968482032374105
commit,8192,140,0.0020832759607142854
commit,8192,141,0.0020698836054964535
commit,8192,142,0.0020566928283450706
commit,8192,143,0.002043681207167832
commit,8192,144,0.0020308568967013886
commit,8192,145,0.0020181993258620687
commit,8192,146,0.002005716344178082
commit,8192,147,0.001993411537414966
commit,8192,148,0.001981269477195946
commit,8192,149,0.0019693020125838923
commit,8192,150,0.0019574923241666665
commit,8192,151,0.001945843495860927
