fs,bench,BLOCK_SIZE,n,t,throughput
lfs3nb64,linear,4096,264646976,3600.022954274,73512.58015891461
lfs3nb64,linear,8192,277127488,3600.066805768,76978.4292769202
lfs3nb64,linear,16384,283214144,3600.035333982,78669.82341163213
lfs3nb64,linear,32768,281772608,3600.360899174,78262.32310895406
lfs3nb64,linear,65536,279643200,3600.395130584,77670.14170876313
lfs3nb64,linear,131072,278530112,3601.14010074,77344.98081392744
lfs3nb64,linear,262144,277876800,3601.002333158,77166.51484541198
lfs3nb64,linear,524288,277880896,3604.381500104,77095.30636309783
lfs3nb64,linear,1048576,277889088,3610.616471462,76964.44366118952
