fs,bench,BLOCK_SIZE,n,t,throughput
lfs3nb8,logging,4096,18512000,3600.04218749,5142.161962526008
lfs3nb8,logging,8192,19999488,3600.00867759,5555.399942365837
lfs3nb8,logging,16384,26809856,3600.166610434,7446.837577544244
lfs3nb8,logging,32768,34376384,3600.132066338,9548.645262607584
lfs3nb8,logging,65536,37887744,3600.447765276,10523.064482535447
lfs3nb8,logging,131072,40779776,3601.257272636,11323.760818162977
lfs3nb8,logging,262144,42998272,3602.62835376,11935.250538713897
lfs3nb8,logging,524288,45530368,3604.408494662,12631.855703211455
lfs3nb8,logging,1048576,47746560,3607.474542792,13235.45306657843
