BLOCK_SIZE,n,t
4096,1,5.0704e-05
4096,2,5.3868e-05
4096,3,5.7032e-05
4096,4,5.8834e-05
4096,5,6.18136e-05
4096,6,6.353633333333333e-05
4096,7,6.511857142857144e-05
4096,8,6.7404e-05
4096,9,6.820488888888889e-05
4096,10,6.97246e-05
4096,11,7.0968e-05
4096,12,7.172566666666666e-05
4096,13,7.271169230769231e-05
4096,14,7.391457142857144e-05
4096,15,7.47112e-05
4096,16,7.583125e-05
4096,17,7.679364705882352e-05
4096,18,7.716077777777777e-05
4096,19,7.792873684210527e-05
4096,20,7.86199e-05
4096,21,7.920333333333333e-05
4096,22,7.960181818181818e-05
4096,23,8.03095652173913e-05
4096,24,8.102425e-05
4096,25,8.153424e-05
4096,26,8.194415384615385e-05
4096,27,8.263296296296295e-05
4096,28,8.294292857142856e-05
4096,29,8.333158620689655e-05
4096,30,8.393459999999999e-05
4096,31,8.448451612903227e-05
4096,32,8.47885625e-05
4096,33,8.475987878787879e-05
4096,34,8.497847058823529e-05
4096,35,8.54934857142857e-05
4096,36,8.572844444444444e-05
4096,37,8.59388108108108e-05
4096,38,8.614968421052631e-05
4096,39,8.651871794871796e-05
4096,40,8.68803e-05
4096,41,8.728429268292683e-05
4096,42,8.762090476190475e-05
4096,43,8.78906976744186e-05
4096,44,8.821418181818181e-05
4096,45,8.857217777777777e-05
4096,46,8.883239130434783e-05
4096,47,8.909089361702127e-05
4096,48,8.940825e-05
4096,49,8.968036734693878e-05
4096,50,9.005579999999999e-05
4096,51,9.028380392156863e-05
4096,52,9.06078076923077e-05
4096,53,9.099924528301887e-05
4096,54,9.118896296296296e-05
4096,55,9.135101818181818e-05
4096,56,9.171607142857143e-05
4096,57,9.204828070175439e-05
4096,58,9.240389655172413e-05
4096,59,9.272508474576271e-05
4096,60,9.300186666666667e-05
4096,61,9.329550819672131e-05
4096,62,9.34265806451613e-05
4096,63,9.367904761904762e-05
4096,64,9.398959375e-05
4096,65,9.435135384615384e-05
4096,66,9.462230303030303e-05
4096,67,9.467146268656716e-05
4096,68,0.0021261117647058824
4096,69,0.0020980645797101447
4096,70,0.0020706333714285716
4096,71,0.002044190309859155
4096,72,0.0020185671944444442
4096,73,0.001993537726027397
4096,74,0.0019691787837837838
4096,75,0.0019455315733333334
4096,76,0.0019225101052631579
4096,77,0.0019000808831168832
4096,78,0.0018782943333333333
4096,79,0.0018571072151898735
4096,80,0.001836433275
4096,81,0.0018162860987654319
4096,82,0.0017963355609756097
4096,83,0.0017770150843373492
4096,84,0.0017582466666666667
4096,85,0.0017398030117647058
4096,86,0.0017218271395348836
4096,87,0.0017043453103448276
4096,88,0.0016872278181818182
4096,89,0.0016703577303370785
4096,90,0.0016539446
4096,91,0.0016379124615384616
4096,92,0.0016222680217391305
4096,93,0.0016070063225806452
4096,94,0.001592002914893617
4096,95,0.001577364442105263
4096,96,0.00156310875
4096,97,0.0015491605979381445
4096,98,0.0015354441836734694
4096,99,0.0015219915353535355
4096,100,0.00150865414
4096,101,0.0014956383168316832
4096,102,0.0014830465686274511
4096,103,0.0014705568155339807
4096,104,0.0014583833076923076
4096,105,0.0014463947809523808
4096,106,0.001434636603773585
4096,107,0.0014231968037383177
4096,108,0.0014118833888888888
4096,109,0.0014007049908256882
4096,110,0.0013897937454545454
4096,111,0.0013791543243243242
4096,112,0.0013686264107142857
4096,113,0.0013582187256637166
4096,114,0.0013481023508771929
4096,115,0.0013381763999999999
4096,116,0.0013284519310344828
4096,117,0.0013187937606837607
4096,118,0.001309323881355932
4096,119,0.0013000988235294117
4096,120,0.0012909315666666667
4096,121,0.00128191947107438
4096,122,0.0012730479016393444
4096,123,0.0012643205853658536
4096,124,0.0012558120161290322
4096,125,0.001247446624
4096,126,0.0012392035396825397
4096,127,0.0012310314488188977
4096,128,0.00122304196875
4096,129,0.0012151286821705425
4096,130,0.0012073614769230769
4096,131,0.0011997698778625954
4096,132,0.0011921308333333333
4096,133,0.001184678030075188
4096,134,0.0011774643731343284
4096,135,0.0011703191703703703
4096,136,0.0011632725735294118
4096,137,0.0011563089635036497
4096,138,0.001149452652173913
4096,139,0.0011426918273381296
4096,140,0.0011360150142857143
4096,141,0.001129386170212766
4096,142,0.0011229905774647888
4096,143,0.001116603916083916
4096,144,0.0011102449166666666
4096,145,0.001103979696551724
4096,146,0.0010977882465753423
4096,147,0.0010917438231292517
4096,148,0.001085633864864865
4096,149,0.0013822086040268457
4096,150,0.0013742832266666666
4096,151,0.0013665212715231788
4096,152,0.0013589626315789474
4096,153,0.0013514941699346405
4096,154,0.001344116987012987
4096,155,0.0013368247870967742
4096,156,0.0013294925641025642
4096,157,0.0013223214777070065
4096,158,0.0013151738607594938
4096,159,0.0013082184150943396
4096,160,0.0013013621875
4096,161,0.0018752308198757763
4096,162,0.0018650552222222224
4096,163,0.0024291205153374232
4096,164,0.0024156920731707317
4096,165,0.002402416193939394
