fs,bench,BLOCK_SIZE,throughput,n,t
lfs3nb,logging,4096,88444.18962313824,318399488,57600.073331072
lfs3nb,logging,8192,93522.73277557368,336688128,57601.07610336001
lfs3nb,logging,16384,126282.13635046605,454625536,57601.247383176014
lfs3nb,logging,32768,160074.31440649746,576314368,57604.681439296
lfs3nb,logging,65536,176917.3127600844,636994560,57608.341439264004
lfs3nb,logging,131072,191057.94991387005,687888384,57606.679800351994
lfs3nb,logging,262144,204736.91328825787,737357824,57623.830478432
lfs3nb,logging,524288,216836.01326200043,781203456,57643.816209152
lfs3nb,logging,1048576,231622.2876535305,835331072,57702.98397187201
