bench,BLOCK_SIZE,n,t
commit,524288,1,5.070400000000002e-05
commit,524288,15,7.447175833333333e-05
commit,524288,31,8.397260080645162e-05
commit,524288,47,8.980695478723403e-05
commit,524288,63,9.436502579365078e-05
commit,524288,79,9.758882120253164e-05
commit,524288,95,0.00010039729473684209
commit,524288,111,0.00010279178265765765
commit,524288,127,0.00010494604035433071
commit,524288,143,0.00010686131293706295
commit,524288,159,0.00010837912264150943
commit,524288,175,0.00010962355
commit,524288,191,0.00011081924476439787
commit,524288,207,0.00011188067753623188
commit,524288,223,0.0001129263918161435
commit,524288,239,0.00011394005543933056
commit,524288,255,0.00011502989852941178
commit,524288,271,0.00011600716559040593
commit,524288,287,0.00011698743771777003
commit,524288,303,0.00011800068976897688
commit,524288,319,0.00011896447766457682
commit,524288,335,0.0001198307567164179
commit,524288,351,0.00012063764814814813
commit,524288,367,0.00012136739884196184
commit,524288,383,0.00012207288936031332
commit,524288,399,0.00012271543515037593
commit,524288,415,0.0001233851379518072
commit,524288,431,0.00012403007917633413
commit,524288,447,0.0001246472841163311
commit,524288,463,0.00012522344816414684
commit,524288,479,0.00012580523825678498
commit,524288,495,0.00012636667525252524
commit,524288,511,0.00012691054036203522
commit,524288,527,0.00012746528723908918
commit,524288,543,0.00012798994682320443
commit,524288,559,0.00012852797048300534
commit,524288,575,0.00012904241434782607
commit,524288,591,0.0001295711529187817
commit,524288,607,0.0001300872506177924
commit,524288,623,0.00013060989365971107
commit,524288,639,0.00013112957042253523
commit,524288,655,0.00013161290477099234
commit,524288,671,0.00013212489288375558
commit,524288,687,0.0001326052152474527
commit,524288,703,0.00013303483445945949
commit,524288,719,0.00013348919367176632
commit,524288,735,0.00013394178486394556
commit,524288,751,0.00013439628894806925
commit,524288,767,0.0001347988011734029
commit,524288,783,0.00013520300383141763
commit,524288,799,0.00013560044086357946
commit,524288,815,0.00013596370015337423
commit,524288,831,0.00013633104693140796
commit,524288,847,0.00013667986437426212
commit,524288,863,0.00013702184110660489
commit,524288,879,0.00013737435537542663
commit,524288,895,0.00013770892709497206
commit,524288,911,0.00013802360716245888
commit,524288,927,0.00013833155326321465
commit,524288,943,0.00013863159504241785
commit,524288,959,0.00013892199009384775
commit,524288,975,0.00013922485423076923
commit,524288,991,0.00013951334006054487
commit,524288,1007,0.00013979541794935453
commit,524288,1023,0.00014009212732160313
commit,524288,1039,0.00014038280341674688
commit,524288,1055,0.0001406721598341232
commit,524288,1071,0.0001409587076330532
commit,524288,1087,0.00014122441179852807
commit,524288,1103,0.00014149628989120584
commit,524288,1119,0.000141772584562109
commit,524288,1135,0.00014204696618942732
commit,524288,1151,0.00014231212434839268
commit,524288,1167,0.00014257993198371895
commit,524288,1183,0.00014285753951817412
commit,524288,1199,0.00014311047404086735
commit,524288,1215,0.00014337508302469134
commit,524288,1231,0.0001436334394800975
commit,524288,1247,0.00014387832778668804
commit,524288,1263,0.00014412191904196358
commit,524288,1279,0.0001443737276192338
commit,524288,1295,0.00014461338349420848
commit,524288,1311,0.00014486376878337145
commit,524288,1327,0.00014511573737754333
commit,524288,1343,0.000145359594564408
commit,524288,1359,0.0001456090928072112
commit,524288,1375,0.00014584012700000003
commit,524288,1391,0.00014607220228253056
commit,524288,1407,0.00014632285314498933
commit,524288,1423,0.00014656589994729442
commit,524288,1439,0.0001468056000694927
commit,524288,1455,0.00014703997001718212
commit,524288,1471,0.0001472816368116927
commit,524288,1487,0.0001475085157195696
commit,524288,1503,0.00014772805904856952
commit,524288,1519,0.00014796968062870313
commit,524288,1535,0.00014819525602605864
commit,524288,1551,0.00014841992843326888
commit,524288,1567,0.0001486463799457562
commit,524288,1583,0.00014887381143398605
commit,524288,1599,0.00014909479580988116
commit,524288,1615,0.00014931393575851393
commit,524288,1631,0.00014952190565603924
commit,524288,1647,0.000149729154143898
commit,524288,1663,0.00014994956471737824
commit,524288,1679,0.00015015757765038715
commit,524288,1695,0.0001503519909292035
commit,524288,1711,0.00015053500438340153
commit,524288,1727,0.00015072488136942674
commit,524288,1743,0.0001509155196500287
commit,524288,1759,0.00015110241841955656
commit,524288,1775,0.00015128127852112675
commit,524288,1791,0.0001514666238833054
commit,524288,1807,0.00015163906827614831
commit,524288,1823,0.00015181236636039496
commit,524288,1839,0.00015198000047580206
commit,524288,1855,0.0001521359938005391
commit,524288,1871,0.00015229329302512024
commit,524288,1887,0.00015246088619501853
commit,524288,1903,0.00015261917380451917
commit,524288,1919,0.000152776006318395
commit,524288,1935,0.0001529351589793282
commit,524288,1951,0.00015307948865966173
commit,524288,1967,0.0001532332173995933
commit,524288,1983,0.00015338761428391326
commit,524288,1999,0.00015353007266133068
commit,524288,2015,0.00015368123250620344
commit,524288,2031,0.00015381650923190546
commit,524288,2047,0.00015394490138006845
commit,524288,2063,0.00015408693977217645
commit,524288,2079,0.00015424301755651753
commit,524288,2095,0.00015438155912887827
commit,524288,2111,0.00015451463222406443
commit,524288,2127,0.0001546619398213446
commit,524288,2143,0.00015480159233551097
commit,524288,2159,0.00015494691848077813
commit,524288,2175,0.00015508617890804598
commit,524288,2191,0.0001552363383158375
commit,524288,2207,0.0001553777439397372
commit,524288,2223,0.00015552069674988752
commit,524288,2239,0.00015565059094461818
commit,524288,2255,0.00015578015388026612
commit,524288,2271,0.00015590898387274327
commit,524288,2287,0.00015604662576519456
commit,524288,2303,0.00015617740789188018
commit,524288,2319,0.00015630451277490296
commit,524288,2335,0.00015643276670235544
commit,524288,2351,0.000156571137920034
commit,524288,2367,0.0001567014611322349
commit,524288,2383,0.0001568396015526647
commit,524288,2399,0.00015696355398082536
commit,524288,2415,0.0001570909789337474
commit,524288,2431,0.00015722395901892225
commit,524288,2447,0.00015735343369431955
commit,524288,2463,0.00015748132191433208
commit,524288,2479,0.0001575987247377975
commit,524288,2495,0.00015772101908817634
commit,524288,2511,0.0001578422332238152
commit,524288,2527,0.0001579679931737238
commit,524288,2543,0.00015808664510420765
commit,524288,2559,0.00015821012231340367
commit,524288,2575,0.000158329073592233
commit,524288,2591,0.0001584510405248939
commit,524288,2607,0.0001585674193517453
commit,524288,2623,0.00015868371740373615
commit,524288,2639,0.00015880584724327397
commit,524288,2655,0.00015892823050847458
commit,524288,2671,0.00015905900336952454
commit,524288,2687,0.00015918754484555266
commit,524288,2703,0.00015929758356455793
commit,524288,2719,0.00015941181247701357
commit,524288,2735,0.0001595310140310786
commit,524288,2751,0.00015966007774445654
commit,524288,2767,0.0001597818427900253
commit,524288,2783,0.00015990250449155589
commit,524288,2799,0.00016002115041086103
commit,524288,2815,0.00016014119125222023
commit,524288,2831,0.0001602535457877075
commit,524288,2847,0.00016036411858974357
commit,524288,2863,0.00016048016769996506
commit,524288,2879,0.00016059258683570686
commit,524288,2895,0.0001607096949050086
commit,524288,2911,0.00016082721934043283
commit,524288,2927,0.00016093309489238126
commit,524288,2943,0.00016104533027522938
commit,524288,2959,0.00016115631683001014
commit,524288,2975,0.00016127094655462183
commit,524288,2991,0.00016138151199431627
commit,524288,3007,0.00016148905308446958
commit,524288,3023,0.00016160304416142903
commit,524288,3039,0.0001617140222935176
commit,524288,3055,0.00016182172201309328
commit,524288,3071,0.00016193088395473787
commit,524288,3087,0.0001620359056527373
commit,524288,3103,0.00016214420822591042
commit,524288,3119,0.00016226139772362936
commit,524288,3135,0.00016237294302232853
commit,524288,3151,0.0001624791351555062
commit,524288,3167,0.00016259004538995894
commit,524288,3183,0.00016269599619070057
commit,524288,3199,0.00016279763949671774
commit,524288,3215,0.00016290271971228617
commit,524288,3231,0.00016300639217734446
commit,524288,3247,0.0001631089632737912
commit,524288,3263,0.00016320943977934417
commit,524288,3279,0.00016330970577920094
commit,524288,3295,0.00016340758562215482
commit,524288,3311,0.00016350969129417096
commit,524288,3327,0.0001636163124436429
commit,524288,3343,0.00016371917880646125
commit,524288,3359,0.0001638203809913665
commit,524288,3375,0.00016392707870370367
commit,524288,3391,0.00016402523790917133
commit,524288,3407,0.00016412584216319342
commit,524288,3423,0.00016422945077417472
commit,524288,3439,0.00016433011264175632
commit,524288,3455,0.00016443073462373372
commit,524288,3471,0.0001645324082757131
commit,524288,3487,0.00016462866518497275
commit,524288,3503,0.0001647296120111333
commit,524288,3519,0.00016482785493037791
commit,524288,3535,0.00016492347323196604
commit,524288,3551,0.00016501728854548015
commit,524288,3567,0.00016510769820577515
commit,524288,3583,0.00016520043137733745
commit,524288,3599,0.00016529418192553485
commit,524288,3615,0.00016538526199861688
commit,524288,3631,0.00016547428779950423
commit,524288,3647,0.00016556324616122842
commit,524288,3663,0.000165655944990445
commit,524288,3679,0.00016575212870345197
commit,524288,3695,0.00016584479807171853
commit,524288,3711,0.00016592840528159526
commit,524288,3727,0.00016601754074993292
commit,524288,3743,0.00016610803917312315
commit,524288,3759,0.00016619460853950518
commit,524288,3775,0.00016628688046357618
commit,524288,3791,0.0001663759027631232
commit,524288,3807,0.0001664713035526661
commit,524288,3823,0.00016655794971226782
commit,524288,3839,0.00016664239945298257
commit,524288,3855,0.0001667311049286641
commit,524288,3871,0.00016681718593386722
commit,524288,3887,0.00016691060387188065
commit,524288,3903,0.00016699258250064055
commit,524288,3919,0.0001670748563090074
commit,524288,3935,0.0001671582498729352
commit,524288,3951,0.0001672386370539104
commit,524288,3967,0.00016732336167128814
commit,524288,3983,0.0001674052039291991
commit,524288,3999,0.00016749166572893224
commit,524288,4015,0.00016757723957036116
commit,524288,4031,0.0001676513312763582
commit,524288,4047,0.00016773528076352855
commit,524288,4063,0.00016781862579990153
commit,524288,4079,0.00016790101936749207
commit,524288,4095,0.00016798206327838829
commit,524288,4111,0.00016805954208221847
commit,524288,4127,0.00016814327417009932
commit,524288,4143,0.00016822069979483467
commit,524288,4159,0.00016829628411276748
commit,524288,4175,0.00016837093562874252
commit,524288,4191,0.0001684485612920544
commit,524288,4207,0.0001685271616353696
commit,524288,4223,0.00016860473052332465
commit,524288,4239,0.0001686822460191083
commit,524288,4255,0.00016875764923619273
commit,524288,4271,0.00016883459766448139
commit,524288,4287,0.00016890383537438767
commit,524288,4303,0.00016898056960260288
commit,524288,4319,0.00016905837708381568
commit,524288,4335,0.0001691294125432526
commit,524288,4351,0.0001692072225350494
commit,524288,4367,0.000169283773070758
commit,524288,4383,0.00016935541489847137
commit,524288,4399,0.00016943237130597863
commit,524288,4415,0.00016950363029445077
commit,524288,4431,0.00016957594865718806
commit,524288,4447,0.0001696437378850911
commit,524288,4463,0.00016971011556128168
commit,524288,4479,0.000169778869557937
commit,524288,4495,0.00016984294082313684
commit,524288,4511,0.0001699127004267347
commit,524288,4527,0.00016998496032140492
commit,524288,4543,0.00017005120418776143
commit,524288,4559,0.00017011621567229653
commit,524288,4575,0.00017017901213114758
commit,524288,4591,0.00017024264525702462
commit,524288,4607,0.00017030840471022357
commit,524288,4623,0.00017037679201816998
commit,524288,4639,0.00017044610697348564
commit,524288,4655,0.00017051148281417832
commit,524288,4671,0.0001705749660672233
commit,524288,4687,0.0001706399235385108
commit,524288,4703,0.00017070709887305975
commit,524288,4719,0.00017076981150667515
commit,524288,4735,0.00017083241686906018
commit,524288,4751,0.00017089402233740267
commit,524288,4767,0.00017095593748688901
commit,524288,4783,0.0001710193131141543
commit,524288,4799,0.00017108161275786624
commit,524288,4815,0.0001711398218068536
commit,524288,4831,0.00017120040152142414
commit,524288,4847,0.0001712562178925108
commit,524288,4863,0.0001713189149958873
commit,524288,4879,0.00017138255049702807
commit,524288,4895,0.00017144585280898873
commit,524288,4911,0.00017150741849928733
commit,524288,4927,0.00024803068812157496
commit,524288,4943,0.00032407425384381954
commit,524288,4959,0.0005517075652601332
commit,524288,4975,0.0008536186334924624
commit,524288,4991,0.001078066557478461
commit,524288,5007,0.0013011402624325944
commit,524288,5023,0.00137265096951523
commit,524288,5039,0.001368873449245882
commit,524288,5055,0.0013651201089020773
commit,524288,5071,0.0013613917779530665
commit,524288,5087,0.0013576872531452725
commit,524288,5103,0.001354006944542426
commit,524288,5119,0.0013503502475336977
commit,524288,5135,0.0013467165007546248
commit,524288,5151,0.0013431042445156281
commit,524288,5167,0.00133951608994581
commit,524288,5183,0.001335950307592128
commit,524288,5199,0.0013324059907914984
commit,524288,5215,0.001328885168935762
commit,524288,5231,0.0013253848508650353
commit,524288,5247,0.0013219041403659234
commit,524288,5263,0.0013184450443900818
commit,524288,5279,0.0013150077221774953
commit,524288,5295,0.0013115934412417376
commit,524288,5311,0.0013081997126953493
commit,524288,5327,0.0013048257495776236
commit,524288,5343,0.0013014717020868427
commit,524288,5359,0.0012981381326273558
commit,524288,5375,0.0012948238543953488
commit,524288,5391,0.0012915283457150808
commit,524288,5407,0.0012882534678888477
commit,524288,5423,0.0012849969169509497
commit,524288,5439,0.0012817611923147637
commit,524288,5455,0.0012785443365261229
commit,524288,5471,0.001275346513411625
commit,524288,5487,0.0012721654992710043
commit,524288,5503,0.0012690042867981102
commit,524288,5519,0.001265862412212357
commit,524288,5535,0.0012627390686314362
commit,524288,5551,0.0012596339952260852
commit,524288,5567,0.001256547277236393
commit,524288,5583,0.0012534764724834318
commit,524288,5599,0.0012504238956063585
commit,524288,5615,0.001247390468477293
commit,524288,5631,0.0012443728443882083
commit,524288,5647,0.0012413724042190544
commit,524288,5663,0.0012383890630628643
commit,524288,5679,0.0012354227312246873
commit,524288,5695,0.0012324732881913959
commit,524288,5711,0.0012295405278410086
commit,524288,5727,0.001226623780229614
commit,524288,5743,0.0012237244515279472
commit,524288,5759,0.00122084160841726
commit,524288,5775,0.0012179741949350648
commit,524288,5791,0.0012151228453850804
commit,524288,5807,0.0012122868683485447
commit,524288,5823,0.0012094675800274773
