BLOCK_SIZE,n,t
262144,1,5.0704e-05
262144,15,7.47112e-05
262144,31,8.448451612903227e-05
262144,47,8.909089361702127e-05
262144,63,9.367904761904762e-05
262144,79,9.731886075949368e-05
262144,95,9.992507368421052e-05
262144,111,0.000102396
262144,127,0.0001047911811023622
262144,143,0.00010673265734265734
262144,159,0.00010823147169811321
262144,175,0.00010934575999999999
262144,191,0.00011055031413612566
262144,207,0.00011166000966183576
262144,223,0.00011277325560538117
262144,239,0.00011372749790794978
262144,255,0.00011482469019607843
262144,271,0.00011586330627306272
262144,287,0.00011695827177700349
262144,303,0.00011793178877887789
262144,319,0.00011888364890282131
262144,335,0.00011987499701492538
262144,351,0.00012070785185185184
262144,367,0.00012154930245231608
262144,383,0.0001224655091383812
262144,399,0.00012316087719298246
262144,415,0.00012386654939759037
262144,431,0.00012450210672853827
262144,447,0.00012510925279642058
262144,463,0.0001257459870410367
262144,479,0.00012627651356993737
262144,495,0.00012674755555555555
262144,511,0.000127215385518591
262144,527,0.00012780929411764706
262144,543,0.0001283393591160221
262144,559,0.0001289011914132379
262144,575,0.00012939797565217391
262144,591,0.0001299288426395939
262144,607,0.0001304094233937397
262144,623,0.00013085218619582665
262144,639,0.00013130235367762129
262144,655,0.00013178636641221375
262144,671,0.00013226234873323398
262144,687,0.00013271143231441046
262144,703,0.00013311493314367
262144,719,0.00013360499582753825
262144,735,0.0001340801931972789
262144,751,0.00013461061517976034
262144,767,0.00013502666492829204
262144,783,0.00013550181864623243
262144,799,0.00013601074593241552
262144,815,0.00013633211288343559
262144,831,0.00013661233453670277
262144,847,0.0001369626800472255
262144,863,0.0001373297033603708
262144,879,0.00013757736973833904
262144,895,0.0001378252067039106
262144,911,0.00013807515916575193
262144,927,0.00013833761812297735
262144,943,0.00013865435418875929
262144,959,0.000138958314911366
262144,975,0.00013917433025641027
262144,991,0.00013946975378405652
262144,1007,0.0001397669731876862
262144,1023,0.00013999818963831865
262144,1039,0.00014028861405197306
262144,1055,0.0001405947981042654
262144,1071,0.0001408251092436975
262144,1087,0.00014113112419503218
262144,1103,0.000141385708068903
262144,1119,0.00014171540303842717
262144,1135,0.00014200460264317182
262144,1151,0.0001422435273675065
262144,1167,0.00014253840274207368
262144,1183,0.00014277924091293323
262144,1199,0.00014299870892410342
262144,1215,0.00014322040823045267
262144,1231,0.00014347163769293255
262144,1247,0.0001437185292702486
262144,1263,0.00014399466033254157
262144,1279,0.00014423535261923377
262144,1295,0.0001445243335907336
262144,1311,0.00014476349046529366
262144,1327,0.00014505622004521478
262144,1343,0.0001452993655994043
262144,1359,0.0001455438940397351
262144,1375,0.000145760368
262144,1391,0.00014600276491732566
262144,1407,0.00014627513006396588
262144,1423,0.00014655477723120167
262144,1439,0.0001468107977762335
262144,1455,0.00014707471065292097
262144,1471,0.00014732362338545208
262144,1487,0.0001476049509078682
262144,1503,0.00014779175515635396
262144,1519,0.00014798914285714287
262144,1535,0.00014823836221498373
262144,1551,0.0001484275770470664
262144,1567,0.00014864580855137205
262144,1583,0.00014886139608338598
262144,1599,0.0001491195559724828
262144,1615,0.00014936655479876163
262144,1631,0.00014955304107909257
262144,1647,0.00014971883667273833
262144,1663,0.00014984903547805172
262144,1679,0.00015000188088147708
262144,1695,0.00015012850147492625
262144,1711,0.00015028039392168323
262144,1727,0.00015043716386797917
262144,1743,0.0001506103683304647
262144,1759,0.00015080091642978965
262144,1775,0.0001509539076056338
262144,1791,0.00015111653154662198
262144,1807,0.00015126689429994467
262144,1823,0.00015145877235326385
262144,1839,0.00015162489396411093
262144,1855,0.00015177018975741238
262144,1871,0.00015190338001068947
262144,1887,0.00015205843561208267
262144,1903,0.00015222524750394114
262144,1919,0.00015239975508077124
262144,1935,0.0001525681219638243
262144,1951,0.00015268637519220914
262144,1967,0.00015285315505846468
262144,1983,0.00015300824104891577
262144,1999,0.00015316458129064532
262144,2015,0.00015330600694789083
262144,2031,0.00015340487543082226
262144,2047,0.00015351859697117733
262144,2063,0.00015368577702375182
262144,2079,0.00015384454834054833
262144,2095,0.00015398159140811457
262144,2111,0.00015410915206063477
262144,2127,0.0001542354837799718
262144,2143,0.00015435132431171255
262144,2159,0.0001544434219546086
262144,2175,0.00015456480000000002
262144,2191,0.0001546976795983569
262144,2207,0.00015480453647485275
262144,2223,0.0001549421664417454
262144,2239,0.00015506623939258598
262144,2255,0.00015519175254988913
262144,2271,0.00015534343989431968
262144,2287,0.0001554992627896808
262144,2303,0.0001556401007381676
262144,2319,0.00015577338421733506
262144,2335,0.00015591850364025695
262144,2351,0.00015602799829859634
262144,2367,0.00015615710773130546
262144,2383,0.0001562685942089803
262144,2399,0.00015636518215923304
262144,2415,0.00015646762236024847
262144,2431,0.0001566389271904566
262144,2447,0.00015677344013077237
262144,2463,0.0001569075282176208
262144,2479,0.00015701782896329166
262144,2495,0.00015716564488977956
262144,2511,0.00015729946077260056
262144,2527,0.00015742253977047883
262144,2543,0.0001575357027133307
262144,2559,0.00015767063931223133
262144,2575,0.0001577962213592233
262144,2591,0.0001579011833269008
262144,2607,0.0001580500069044879
262144,2623,0.00015817151200914981
262144,2639,0.00015828767715043578
262144,2655,0.000158393997740113
262144,2671,0.0001585486671658555
262144,2687,0.001282925475995534
262144,2703,0.001276331977062523
262144,2719,0.001269812706141964
262144,2735,0.0012633792921389396
262144,2751,0.0012570309611050527
262144,2767,0.0012507560440910735
262144,2783,0.0012445554919151994
262144,2799,0.001238423066095034
262144,2815,0.0012323699055062168
262144,2831,0.001226372739667962
262144,2847,0.0012204544959606603
