bench,BLOCK_SIZE,n,t
commit,131072,1,5.070400000000002e-05
commit,131072,2,5.3868e-05
commit,131072,3,5.716033333333335e-05
commit,131072,4,5.897690625e-05
commit,131072,5,6.1340175e-05
commit,131072,6,6.319768750000002e-05
commit,131072,7,6.504560714285715e-05
commit,131072,8,6.702692187499998e-05
commit,131072,9,6.843058333333333e-05
commit,131072,10,6.98007e-05
commit,131072,11,7.076948863636364e-05
commit,131072,12,7.179382291666666e-05
commit,131072,13,7.272730769230769e-05
commit,131072,14,7.364904464285715e-05
commit,131072,15,7.447175833333333e-05
commit,131072,16,7.54103359375e-05
commit,131072,17,7.611924264705884e-05
commit,131072,18,7.691024305555553e-05
commit,131072,19,7.751669736842105e-05
commit,131072,20,7.8269975e-05
commit,131072,21,7.897162500000001e-05
commit,131072,22,7.962669318181818e-05
commit,131072,23,8.021788043478261e-05
commit,131072,24,8.081998958333334e-05
commit,131072,25,8.140294999999999e-05
commit,131072,26,8.194592788461538e-05
commit,131072,27,8.23286388888889e-05
commit,131072,28,8.277467857142857e-05
commit,131072,29,8.318921120689656e-05
commit,131072,30,8.357829166666665e-05
commit,131072,31,8.397260080645162e-05
commit,131072,32,8.439117187499999e-05
commit,131072,33,8.47412196969697e-05
commit,131072,34,8.505305514705882e-05
commit,131072,35,8.545776785714286e-05
commit,131072,36,8.579468750000002e-05
commit,131072,37,8.613121621621623e-05
commit,131072,38,8.652318092105263e-05
commit,131072,39,8.68591314102564e-05
commit,131072,40,8.727827187500001e-05
commit,131072,41,8.764373170731708e-05
commit,131072,42,8.803258928571427e-05
commit,131072,43,8.838418895348835e-05
commit,131072,44,8.878811363636364e-05
commit,131072,45,8.916845555555556e-05
commit,131072,46,8.947004076086957e-05
commit,131072,47,8.980695478723403e-05
commit,131072,48,9.011575260416666e-05
commit,131072,49,9.044873469387755e-05
commit,131072,50,9.080443750000001e-05
commit,131072,51,9.112301715686275e-05
commit,131072,52,9.14381971153846e-05
commit,131072,53,9.175050235849057e-05
commit,131072,54,9.202367824074075e-05
commit,131072,55,9.234486363636366e-05
commit,131072,56,9.262347544642858e-05
commit,131072,57,9.288470614035088e-05
commit,131072,58,9.315236206896554e-05
commit,131072,59,9.341113347457627e-05
commit,131072,60,9.363098333333334e-05
commit,131072,61,9.389342213114753e-05
commit,131072,62,9.41568689516129e-05
commit,131072,63,9.436502579365078e-05
commit,131072,64,9.4581962890625e-05
commit,131072,65,9.480998461538459e-05
commit,131072,66,9.506623674242426e-05
commit,131072,67,9.522807462686567e-05
commit,131072,68,9.54184411764706e-05
commit,131072,69,9.559931340579711e-05
commit,131072,70,9.580351071428571e-05
commit,131072,71,9.602191373239435e-05
commit,131072,72,9.623630555555555e-05
commit,131072,73,9.644768493150685e-05
commit,131072,74,9.665408614864865e-05
commit,131072,75,9.687184166666667e-05
commit,131072,76,9.705082565789472e-05
commit,131072,77,9.724421753246752e-05
commit,131072,78,9.741398076923077e-05
commit,131072,79,9.758882120253164e-05
commit,131072,80,9.778368125e-05
