fs,bench,BLOCK_SIZE,n,t,throughput
lfs3nb64,logging,4096,20322624,3600.010348082,5645.157106514267
lfs3nb64,logging,8192,22047232,3600.0940502,6124.071119412891
lfs3nb64,logging,16384,29861632,3600.0763869,8294.721775532556
lfs3nb64,logging,32768,37126656,3600.074859776,10312.745552827215
lfs3nb64,logging,65536,39010048,3600.000396646,10836.123250526405
lfs3nb64,logging,131072,42381120,3601.04718368,11769.109883389441
lfs3nb64,logging,262144,45927232,3600.491032886,12755.824575179317
lfs3nb64,logging,524288,49808256,3601.470110772,13829.978999693338
lfs3nb64,logging,1048576,53483712,3603.832828072,14840.786060715538
