fs,bench,BLOCK_SIZE,n,t,throughput
lfs3nb32,linear,4096,264646976,3600.022954274,73512.58015891461
lfs3nb32,linear,8192,277127488,3600.066805768,76978.4292769202
lfs3nb32,linear,16384,274563648,3600.155529784,76264.38517129095
lfs3nb32,linear,32768,272139328,3600.276651636,75588.44898109074
lfs3nb32,linear,65536,270383424,3600.001531706,75106.47471082279
lfs3nb32,linear,131072,269357120,3601.183620374,74796.83026327494
lfs3nb32,linear,262144,268443712,3601.508483776,74536.46526428568
lfs3nb32,linear,524288,268451904,3604.456033264,74477.78569708465
lfs3nb32,linear,1048576,268468288,3610.578999044,74356.02103459982
