fs,bench,BLOCK_SIZE,n,t,throughput
lfs3nbf,linear,4096,50661440,3600.14800684,14072.043678134127
lfs3nbf,linear,8192,41087040,3600.191425438,11412.45982357767
lfs3nbf,linear,16384,42078016,3600.314658092,11687.316247602479
lfs3nbf,linear,32768,44422208,3600.13273112,12339.047284565053
lfs3nbf,linear,65536,43876160,3601.299945094,12183.422838681314
lfs3nbf,linear,131072,43774528,3600.892486284,12156.577339295638
lfs3nbf,linear,262144,43937856,3605.933892556,12184.875627005867
lfs3nbf,linear,524288,46927680,3604.851741048,13017.922336622149
lfs3nbf,linear,1048576,49459776,3613.701183586,13686.736530583685
