fs,bench,BLOCK_SIZE,n,t,throughput
lfs3nbf,random,4096,18325184,3600.078501016,5090.217892423273
lfs3nbf,random,8192,16540864,3600.071508198,4594.593180255871
lfs3nbf,random,16384,16451328,3600.021399438,4569.786169206722
lfs3nbf,random,32768,17754112,3600.121526986,4931.531301629041
lfs3nbf,random,65536,17946496,3600.313693402,4984.703425395702
lfs3nbf,random,131072,17591552,3600.792688126,4885.466485757436
lfs3nbf,random,262144,17730432,3600.002392964,4925.116726214716
lfs3nbf,random,524288,17862464,3600.00149117,4961.793500311774
lfs3nbf,random,1048576,17424832,3604.290308456,4834.469620585147
