fs,bench,BLOCK_SIZE,n,t,throughput
lfs3nb32,random,4096,8913408,3600.003951788,2475.943948776226
lfs3nb32,random,8192,7932096,3600.130004728,2203.28043420179
lfs3nb32,random,16384,6319616,3600.336642124,1755.2847492260544
lfs3nb32,random,32768,5005248,3600.248546558,1390.250682771678
lfs3nb32,random,65536,3979648,3601.078597584,1105.1266702898365
lfs3nb32,random,131072,3077952,3601.62726284,854.6003723808262
lfs3nb32,random,262144,2404032,3606.148680168,666.6480539809588
lfs3nb32,random,524288,1716480,3605.723168296,476.04320128968124
lfs3nb32,random,1048576,1052544,3602.54098722,292.1671130832087
