BLOCK_SIZE,n,t
32768,1,5.0704e-05
32768,2,5.3868e-05
32768,3,5.7032e-05
32768,4,5.8834e-05
32768,5,6.18136e-05
32768,6,6.353633333333333e-05
32768,7,6.511857142857144e-05
32768,8,6.7404e-05
32768,9,6.820488888888889e-05
32768,10,6.97246e-05
32768,11,7.0968e-05
32768,12,7.172566666666666e-05
32768,13,7.271169230769231e-05
32768,14,7.391457142857144e-05
32768,15,7.47112e-05
32768,16,7.583125e-05
32768,17,7.679364705882352e-05
32768,18,7.716077777777777e-05
32768,19,7.792873684210527e-05
32768,20,7.86199e-05
32768,21,7.920333333333333e-05
32768,22,7.960181818181818e-05
32768,23,8.03095652173913e-05
32768,24,8.102425e-05
32768,25,8.153424e-05
32768,26,8.194415384615385e-05
32768,27,8.263296296296295e-05
32768,28,8.294292857142856e-05
32768,29,8.333158620689655e-05
32768,30,8.393459999999999e-05
32768,31,8.448451612903227e-05
32768,32,8.47885625e-05
32768,33,8.475987878787879e-05
32768,34,8.497847058823529e-05
32768,35,8.54934857142857e-05
32768,36,8.572844444444444e-05
32768,37,8.59388108108108e-05
32768,38,8.614968421052631e-05
32768,39,8.651871794871796e-05
32768,40,8.68803e-05
32768,41,8.728429268292683e-05
32768,42,8.762090476190475e-05
32768,43,8.78906976744186e-05
32768,44,8.821418181818181e-05
32768,45,8.857217777777777e-05
32768,46,8.883239130434783e-05
32768,47,8.909089361702127e-05
32768,48,8.940825e-05
32768,49,8.968036734693878e-05
32768,50,9.005579999999999e-05
32768,51,9.028380392156863e-05
32768,52,9.06078076923077e-05
32768,53,9.099924528301887e-05
32768,54,9.118896296296296e-05
32768,55,9.135101818181818e-05
32768,56,9.171607142857143e-05
32768,57,9.204828070175439e-05
32768,58,9.240389655172413e-05
32768,59,9.272508474576271e-05
32768,60,9.300186666666667e-05
32768,61,9.329550819672131e-05
32768,62,9.34265806451613e-05
32768,63,9.367904761904762e-05
32768,64,9.398959375e-05
32768,65,9.435135384615384e-05
32768,66,9.462230303030303e-05
32768,67,9.488516417910447e-05
32768,68,9.508205882352942e-05
32768,69,9.534339130434784e-05
32768,70,9.558468571428571e-05
32768,71,9.581918309859154e-05
32768,72,9.605938888888889e-05
32768,73,9.628698630136986e-05
32768,74,9.650843243243244e-05
32768,75,9.670637333333334e-05
32768,76,9.676607894736842e-05
32768,77,9.691784415584415e-05
32768,78,9.702623076923077e-05
32768,79,9.731886075949368e-05
32768,80,9.755467500000001e-05
32768,81,9.77196049382716e-05
32768,82,9.780014634146342e-05
32768,83,9.786814457831325e-05
32768,84,9.803916666666666e-05
32768,85,9.809757647058823e-05
32768,86,9.824660465116279e-05
32768,87,9.850335632183907e-05
32768,88,9.875427272727273e-05
32768,89,9.89156179775281e-05
32768,90,9.903426666666667e-05
32768,91,9.933094505494505e-05
32768,92,9.945206521739131e-05
32768,93,9.956584946236559e-05
32768,94,9.980348936170213e-05
32768,95,9.992507368421052e-05
32768,96,0.00010014027083333333
32768,97,0.00010024680412371135
32768,98,0.00010044085714285713
32768,99,0.00010053775757575757
32768,100,0.00010065472000000001
32768,101,0.00010073887128712872
32768,102,0.00010092049019607843
32768,103,0.00010093644660194175
32768,104,0.00010119296153846153
32768,105,0.00010147392380952381
32768,106,0.00010157128301886792
32768,107,0.0001017448598130841
32768,108,0.0001018379074074074
32768,109,0.0001020703486238532
32768,110,0.00010223865454545455
32768,111,0.000102396
32768,112,0.00010264080357142858
32768,113,0.0001027684424778761
32768,114,0.000102917
32768,115,0.00010307445217391304
32768,116,0.000103286
32768,117,0.00010336247863247864
32768,118,0.00010341155932203391
32768,119,0.0001035484705882353
32768,120,0.00010377101666666667
32768,121,0.00010391360330578512
32768,122,0.00010414032786885246
32768,123,0.00010435621138211381
32768,124,0.00010442683870967743
32768,125,0.00010454201600000001
32768,126,0.00010480187301587301
32768,127,0.0001047911811023622
32768,128,0.000104979796875
32768,129,0.00010509052713178295
32768,130,0.00010519278461538462
32768,131,0.0001053639389312977
