fs,bench,BLOCK_SIZE,n,t,throughput
lfs3nb128,random,4096,3570432,3600.08030127,991.7645444576498
lfs3nb128,random,8192,2003712,3600.12008433,556.5681013590137
lfs3nb128,random,16384,6750464,3600.205463344,1875.021875482053
lfs3nb128,random,32768,5329280,3600.269637926,1480.2446860813534
lfs3nb128,random,65536,3908736,3600.918520896,1085.4830447614258
lfs3nb128,random,131072,2959680,3600.79191453,821.9525232927317
lfs3nb128,random,262144,2268928,3602.207544546,629.8715362570708
lfs3nb128,random,524288,1681984,3602.786206124,466.856456023111
lfs3nb128,random,1048576,1083392,3604.842065982,300.53799311312457
