fs,bench,BLOCK_SIZE,n,t,throughput
lfs3nb,linear,4096,264646976,3600.022954274,73512.58015891461
lfs3nb,linear,8192,257155648,3600.072710738,71430.6817284488
lfs3nb,linear,16384,255820864,3600.154025076,71058.31089951757
lfs3nb,linear,32768,253560896,3600.341406338,70426.90328023734
lfs3nb,linear,65536,253014080,3600.001825216,70281.65325577834
lfs3nb,linear,131072,251928640,3600.341823558,69973.53372159373
lfs3nb,linear,262144,250363968,3602.086840792,69505.25599903411
lfs3nb,linear,524288,250642496,3605.565674086,69515.44324970231
lfs3nb,linear,1048576,250675264,3611.402386974,69412.1665600496
