fs,bench,BLOCK_SIZE,n,t,throughput
lfs2,random,4096,18368,3625.229330326,5.066713944507409
lfs2,random,8192,18368,3624.462293998,5.067786201119226
lfs2,random,16384,18176,3606.21085398,5.040193359725494
lfs2,random,32768,17920,3628.246291724,4.9390252367584235
lfs2,random,65536,17536,3626.095792272,4.836055362181285
lfs2,random,131072,16832,3615.521544622,4.655483252488756
lfs2,random,262144,15808,3601.155366694,4.389702301156852
lfs2,random,524288,14336,3631.689070284,3.9474745008605368
lfs2,random,1048576,12032,3619.541134868,3.324178273343146
