fs,bench,BLOCK_SIZE,n,t,throughput
lfs3nb2,logging,4096,15115136,3600.011256606,4198.635760447641
lfs3nb2,logging,8192,16624640,3600.084988142,4617.84653827852
lfs3nb2,logging,16384,18451328,3600.17586987,5125.118512798172
lfs3nb2,logging,32768,23857024,3600.14585723,6626.682625118948
lfs3nb2,logging,65536,24265024,3600.484594604,6739.377259484926
lfs3nb2,logging,131072,24297664,3600.745481458,6747.95375710962
lfs3nb2,logging,262144,24198336,3600.071448214,6721.626597717894
lfs3nb2,logging,524288,24157184,3603.42119533,6703.957902924999
lfs3nb2,logging,1048576,24140160,3603.15197769,6699.734052149636
