fs,bench,BLOCK_SIZE,n,t,throughput
lfs3nb,logging,4096,19899968,3600.004583192,5527.76185144614
lfs3nb,logging,8192,21043008,3600.06733923,5845.170664085628
lfs3nb,logging,16384,28414080,3600.077674396,7892.629706876296
lfs3nb,logging,32768,36019648,3600.292589956,10004.644650406095
lfs3nb,logging,65536,39812160,3600.521339954,11057.332047505275
lfs3nb,logging,131072,42993024,3600.412711106,11941.13771106899
lfs3nb,logging,262144,46084864,3601.489404902,12796.057080516113
lfs3nb,logging,524288,48825216,3602.738513072,13552.250828875029
lfs3nb,logging,1048576,52208192,3606.436498242,14476.392978345659
