fs,bench,BLOCK_SIZE,n,t,throughput
lfs2,linear,4096,284971520,3600.042725016,79157.81610584454
lfs2,linear,8192,284529600,3600.000247088,79035.99457532061
lfs2,linear,16384,283574080,3600.028284072,78769.9589068919
lfs2,linear,32768,281673600,3600.055866328,78241.45248259789
lfs2,linear,65536,277938112,3600.057450504,77203.79905634264
lfs2,linear,131072,270779392,3600.000285816,75216.49180608978
lfs2,linear,262144,257501440,3600.000333272,71528.1711560176
lfs2,linear,524288,234430976,3600.000452464,65119.707371021315
lfs2,linear,1048576,199229440,3606.255359312,55245.51651217758
